"Model no","Display Name","Date Created","Date Received","Item name","Quantity Received","Unit Cost","Extended Cost","Retail Price","Extended retail","Gross Margin %",Size,"Product No"
38543202," RW HOOD VAULT 1983 GRY SM",1/3/2023,1/30/2023,"315 - Hooded Sweat Adult",6,39.27,235.62,84.99,509.94,0.537945641,SM,385432
38543203," RW HOOD VAULT 1983 GRY MED",1/3/2023,1/30/2023,"315 - Hooded Sweat Adult",18,39.27,706.86,84.99,1529.82,0.537945641,MED,385432
38543204," RW HOOD VAULT 1983 GRY LG",1/3/2023,1/30/2023,"315 - Hooded Sweat Adult",24,39.27,942.48,84.99,2039.76,0.537945641,LG,385432
38543205," RW HOOD VAULT 1983 GRY XL",1/3/2023,1/30/2023,"315 - Hooded Sweat Adult",18,39.27,706.86,84.99,1529.82,0.537945641,XL,385432
38543206," RW HOOD VAULT 1983 GRY XXL",1/3/2023,1/30/2023,"315 - Hooded Sweat Adult",6,39.27,235.62,84.99,509.94,0.537945641,XXL,385432
75573204," HOOD SWEAT CHAR LG",1/26/2023,2/8/2023,"315 - Hooded Sweat Adult",24,25.05,601.2,54.99,1319.76,0.54446263,LG,755732
75573206," HOOD SWEAT CHAR XXL",1/26/2023,2/8/2023,"315 - Hooded Sweat Adult",12,25.05,300.6,54.99,659.88,0.54446263,XXL,755732
75613203," HOOD SWEAT   CHAR MED",1/26/2023,2/8/2023,"315 - Hooded Sweat Adult",24,25.05,601.2,54.99,1319.76,0.54446263,MED,756132
75613204," HOOD SWEAT   CHAR LG",1/26/2023,2/8/2023,"315 - Hooded Sweat Adult",24,25.05,601.2,54.99,1319.76,0.54446263,LG,756132
75613205," HOOD SWEAT   CHAR XL",1/26/2023,2/8/2023,"315 - Hooded Sweat Adult",24,25.05,601.2,54.99,1319.76,0.54446263,XL,756132
75633204," HOOD SWEAT   OXFORD GRY LG",1/26/2023,2/8/2023,"315 - Hooded Sweat Adult",24,25.05,601.2,54.99,1319.76,0.54446263,LG,756332
75633206," HOOD SWEAT   OXFORD GRY XXL",1/26/2023,2/8/2023,"315 - Hooded Sweat Adult",6,25.05,150.3,54.99,329.94,0.54446263,XXL,756332
75593504," HOOD SWEAT WHT LG",2/14/2023,2/14/2023,"315 - Hooded Sweat Adult",0,25.06,0,54.99,0,0.544280778,LG,755935
75563002," HOOD SWEAT BLK  SM",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,755630
75563003," HOOD SWEAT BLK  MED",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,MED,755630
75563004," HOOD SWEAT BLK  LG",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,LG,755630
75573202," HOOD SWEAT CHAR SM",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,755732
75573203," HOOD SWEAT CHAR MED",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,755732
75573205," HOOD SWEAT CHAR XL",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755732
75586002," HOOD SWEAT RED SM",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,SM,755860
75586003," HOOD SWEAT RED MED",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,755860
75586004," HOOD SWEAT RED LG",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,LG,755860
75593502," HOOD SWEAT WHT SM",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,SM,755935
75593503," HOOD SWEAT WHT MED",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,MED,755935
75603002," HOOD SWEAT BLACK SM",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",24,25.05,601.2,54.99,1319.76,0.54446263,SM,756030
75603003," HOOD SWEAT BLACK MED",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.05,300.6,54.99,659.88,0.54446263,MED,756030
75603004," HOOD SWEAT BLACK LG",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.05,300.6,54.99,659.88,0.54446263,LG,756030
75603005," HOOD SWEAT BLACK XL",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.05,300.6,54.99,659.88,0.54446263,XL,756030
75603006," HOOD SWEAT BLACK XXL",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",6,25.05,150.3,54.99,329.94,0.54446263,XXL,756030
75626002," HOOD SWEAT   RED SM",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,756260
75626003," HOOD SWEAT   RED MED",2/14/2023,2/21/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,756260
75563004," HOOD SWEAT BLK  LG",2/28/2023,2/28/2023,"315 - Hooded Sweat Adult",0,25.05,0,54.99,0,0.54446263,LG,755630
75563006," HOOD SWEAT BLK  XXL",2/28/2023,2/28/2023,"315 - Hooded Sweat Adult",0,25.05,0,54.99,0,0.54446263,XXL,755630
75563002," HOOD SWEAT BLK  SM",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,755630
75563003," HOOD SWEAT BLK  MED",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,MED,755630
75563005," HOOD SWEAT BLK  XL",2/28/2023,3/20/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755630
