"Model no","Item Name","Qty Sold","Item Cost","Retail Price","Extended Cost","Total Revenue","Gross Profit","Gross Profit%","Sale Mode",Size,"Product No","Product color"
10443502,"HOOD NCSU/WLFHD HTHR WHT SM",30,34.82,69.99,1044.6,2021.52,976.92,0.502500357,In-store,SM,104435,WHT
10443503,"HOOD NCSU/WLFHD HTHR WHT MED",60,34.36705882,69.99,2084.34,3868.07,1783.73,0.508929847,In-store,MED,104435,WHT
10443504,"HOOD NCSU/WLFHD HTHR WHT LG",48,34.82,69.99,1671.36,3314.86,1643.5,0.502500357,In-store,LG,104435,WHT
10443505,"HOOD NCSU/WLFHD HTHR WHT XL",24,32.90136364,69.99,823.24,1656.15,832.91,0.529932848,In-store,XL,104435,WHT
10443506,"HOOD NCSU/WLFHD HTHR WHT XXL",8,33.34444444,69.99,274.65,517.92,243.27,0.523646235,In-store,XXL,104435,WHT
10453002,"HOOD NCSU/WLFHD HTHR BLK SM",21,33.97545455,69.99,725.45,1400.99,675.54,0.514502072,In-store,SM,104530,"HTHR BLK"
10453003,"HOOD NCSU/WLFHD HTHR BLK MED",42,33.452,69.99,1456.51,2874.22,1417.71,0.522074582,In-store,MED,104530,"HTHR BLK"
10453004,"HOOD NCSU/WLFHD HTHR BLK LG",45,34.26481481,69.99,1560.89,3134.1,1573.21,0.5105015,In-store,LG,104530,"HTHR BLK"
10453005,"HOOD NCSU/WLFHD HTHR BLK XL",27,34.1837931,69.99,936.05,1879.73,943.68,0.511644521,In-store,XL,104530,"HTHR BLK"
10453006,"HOOD NCSU/WLFHD HTHR BLK XXL",10,33.66333333,69.99,346.29,643.21,296.92,0.519074154,In-store,XXL,104530,"HTHR BLK"
10463202,"HOOD NCSU HTHR GRY SM",37,34.59142857,69.99,1234.06,2575.69,1341.63,0.505786541,In-store,SM,104632,"HTHR GRY"
10463203,"HOOD NCSU HTHR GRY MED",60,34.62,69.99,1991.23,4071.82,2080.59,0.505357908,In-store,MED,104632,"HTHR GRY"
10463204,"HOOD NCSU HTHR GRY LG",67,34.31423077,69.99,2221.92,4505.59,2283.67,0.509787112,In-store,LG,104632,"HTHR GRY"
10463205,"HOOD NCSU HTHR GRY XL",41,34.21,69.99,1376.93,2768.4,1391.47,0.511215888,In-store,XL,104632,"HTHR GRY"
10463206,"HOOD NCSU HTHR GRY XXL",13,34.21,69.99,430.7,883.17,452.47,0.511215888,In-store,XXL,104632,"HTHR GRY"
